ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
115	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	EAT	kas	k a s	1 7 3	AXN	KAS	4	4.K.C 4.A.V 4.S.c	2.0 1.5 0.8	kas	0	51	k a s
175	Miskito	15.1576	-84.2942	misk1235	Misumalpan	EAT	piaia	p i a i a	1 7 7 7 7	AXYYZ	PIAIA	3	3.P.C 3.I.V 3.A.V 3.I.V 3.A.V	2.0 1.5 1.3 1.3 0.8	piaia	0	52	
176	Miskito	15.1576	-84.2942	misk1235	Misumalpan	EGG	mabra	m a b r a	4 7 1 5 7	AXBCZ	MAPRA	3	3.M.C 3.A.V 3.P.C 3.R.C 3.A.V	2.0 1.5 1.75 1.5 0.8	mabra	0	53	
33	Cacaopera	13.74	-88.11	caca1247	Misumalpan	EYE	kunn	k u n	1 7 4	AXN	KYN	1	1.K.C 1.Y.V 1.N.c	2.0 1.5 0.8	kun	0	54	
85	Mayangna	14.13	-84.34	maya1285	Misumalpan	EYE	makpa	m a k p a	4 7 1 1 7	AXMBZ	MAKPA	2	2.M.C 2.A.V 2.K.c 2.P.C 2.A.V	2.0 1.5 1.1 1.75 0.8	makpa	0	55	m a k p a - -
137	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	EYE	makdaka	m a k d a k a	4 7 1 1 7 1 7	AXMBYBZ	MAKTAKA	4	4.M.C 4.A.V 4.K.c 4.T.C 4.A.V 4.K.C 4.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	makdaka	0	55	m a k d a k a
177	Miskito	15.1576	-84.2942	misk1235	Misumalpan	EYE	won_nakra	w o n + n a k r a	6 7 4 9 4 7 1 5 7	AXN_AXBCZ	WUN_NAKRA	3	3.W.C 3.U.V 3.N.c 3._._ 3.N.C 3.A.V 3.K.C 3.R.C 3.A.V	2.0 1.5 0.8 0.0 2.0 1.5 1.75 1.5 0.8	won+nakra	0	56	
8	Cacaopera	13.74	-88.11	caca1247	Misumalpan	FALL	winwa'jam	w i n w a j a m	6 7 4 6 7 6 7 4	AXBCYBYN	WINWAJAM	1	1.W.C 1.I.V 1.N.C 1.W.C 1.A.V 1.J.C 1.A.V 1.M.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	winwajam	0	57	
60	Mayangna	14.13	-84.34	maya1285	Misumalpan	FALL	buk	b u k	1 7 1	AXN	PYK	2	2.P.C 2.Y.V 2.K.c	2.0 1.5 0.8	buk	0	58	
112	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	FALL	wauhda	w a u h d a	6 7 7 3 1 7	AXYMBZ	WAYHTA	4	4.W.C 4.A.V 4.Y.V 4.H.c 4.T.C 4.A.V	2.0 1.5 1.3 1.1 1.75 0.8	wauhda	0	60	
