ID	DOCULECT	LATITUDE	LONGITUDE	GLOTTOCODE	FAMILY	CONCEPT	FORM	TOKENS	COGID	ALIGNMENT
49	Cacaopera	13.74	-88.11	caca1247	Misumalpan	SEE	la	l a	152	
101	Mayangna	14.13	-84.34	maya1285	Misumalpan	SEE	tal	t a l	153	t a l
153	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	SEE	tal	t a l	153	t a l
219	Miskito	15.1576	-84.2942	misk1235	Misumalpan	SEE	kaikaia	k a i k a i a	154	
35	Cacaopera	13.74	-88.11	caca1247	Misumalpan	SMALL	tʃiki	tʃ i k i	158	tʃ i - k i
87	Mayangna	14.13	-84.34	maya1285	Misumalpan	SMALL	bi-ni	b i + n i	158	b i + n i
139	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	SMALL	ba-ka	b a + k a	158	b a + k a
222	Miskito	15.1576	-84.2942	misk1235	Misumalpan	SMALL	sirpi	s i r p i	159	
22	Cacaopera	13.74	-88.11	caca1247	Misumalpan	SMOKE (EXHAUST)	kiba	k i b a	160	
74	Mayangna	14.13	-84.34	maya1285	Misumalpan	SMOKE (EXHAUST)	wajau	w a j a u	161	w a j a u
126	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	SMOKE (EXHAUST)	waju	w a j u	161	w a j - u
223	Miskito	15.1576	-84.2942	misk1235	Misumalpan	SMOKE (EXHAUST)	kiasma	k i a s m a	162	
10	Cacaopera	13.74	-88.11	caca1247	Misumalpan	TAIL	kuna	k u n a	168	k u n a -
62	Mayangna	14.13	-84.34	maya1285	Misumalpan	TAIL	mamah	m a m a h	168	m a m a h
114	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	TAIL	umah	u m a h	168	- u m a h
228	Miskito	15.1576	-84.2942	misk1235	Misumalpan	TAIL	wuaikai	w u a i k a i	169	
16	Cacaopera	13.74	-88.11	caca1247	Misumalpan	THIS	irahi	i r a h i	172	
68	Mayangna	14.13	-84.34	maya1285	Misumalpan	THIS	a:dika	aː d i k a	174	aː d i k a
120	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	THIS	a:ka	aː k a	174	aː - - k a
231	Miskito	15.1576	-84.2942	misk1235	Misumalpan	THIS	na	n a	174	n - - - a
46	Cacaopera	13.74	-88.11	caca1247	Misumalpan	THOU	mani	m a n i	177	m a n i
98	Mayangna	14.13	-84.34	maya1285	Misumalpan	THOU	man	m a n	177	m a n -
150	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	THOU	man	m a n	177	m a n -
242	Miskito	15.1576	-84.2942	misk1235	Misumalpan	THOU	man	m a n	177	m a n -
256	Cacaopera	13.74	-88.11	caca1247	Misumalpan	THREE	watba	w a t b a	198	( w a t ) b a -
257	Mayangna	14.13	-84.34	maya1285	Misumalpan	THREE	bas	b a s	198	( - - - ) b a s
258	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	THREE	bas	b a s	198	( - - - ) b a s
259	Miskito	15.1576	-84.2942	misk1235	Misumalpan	THREE	yumpa	j u m p a	198	( j u m ) p a -
25	Cacaopera	13.74	-88.11	caca1247	Misumalpan	TONGUE	tum	t u m	179	t u m
77	Mayangna	14.13	-84.34	maya1285	Misumalpan	TONGUE	tu	t u	179	t u -
129	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	TONGUE	tu	t u	179	t u -
233	Miskito	15.1576	-84.2942	misk1235	Misumalpan	TONGUE	won_twisa	w o n + t w i s a	180	
15	Cacaopera	13.74	-88.11	caca1247	Misumalpan	TOOTH	nini	n i n i	181	n i n i
67	Mayangna	14.13	-84.34	maya1285	Misumalpan	TOOTH	ana	a n a	181	- a n a
119	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	TOOTH	ana	a n a	181	- a n a
234	Miskito	15.1576	-84.2942	misk1235	Misumalpan	TOOTH	won_napa	w o n + n a p a	182	
244	Cacaopera	13.74	-88.11	caca1247	Misumalpan	TREE	man	m a n	194	m a n
245	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	TREE	pan	p a n	194	p a n
246	Mayangna	14.13	-84.34	maya1285	Misumalpan	TREE	pan	p a n	194	p a n
247	Miskito	15.1576	-84.2942	misk1235	Misumalpan	TREE	dus	d u s	195	
248	Cacaopera	13.74	-88.11	caca1247	Misumalpan	TWO	buru	b u r u	196	b u r u
249	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	TWO	bu	b u	196	b u - -
250	Mayangna	14.13	-84.34	maya1285	Misumalpan	TWO	bu	b u	196	b u - -
251	Miskito	15.1576	-84.2942	misk1235	Misumalpan	TWO	wol	w o l	196	w o l -
1	Cacaopera	13.74	-88.11	caca1247	Misumalpan	WATER	li	l i	186	l i
53	Mayangna	14.13	-84.34	maya1285	Misumalpan	WATER	was	w a s	185	w a s
105	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	WATER	was	w a s	185	w a s
235	Miskito	15.1576	-84.2942	misk1235	Misumalpan	WATER	li	l i	186	l i
39	Cacaopera	13.74	-88.11	caca1247	Misumalpan	WHAT	pi	p i	187.	
91	Mayangna	14.13	-84.34	maya1285	Misumalpan	WHAT	di	d i	188	d i
143	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	WHAT	di	d i	188	d i
236	Miskito	15.1576	-84.2942	misk1235	Misumalpan	WHAT	ba	b a	187	
51	Cacaopera	13.74	-88.11	caca1247	Misumalpan	WIND	win	w i n	191	w i n
103	Mayangna	14.13	-84.34	maya1285	Misumalpan	WIND	win	w i n	191	w i n
155	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	WIND	win	w i n	191	w i n
240	Miskito	15.1576	-84.2942	misk1235	Misumalpan	WIND	pasa	p a s a	192	
252	Cacaopera	13.74	-88.11	caca1247	Misumalpan	WOMAN	juara	j ua r a	197	j ua r ( a - )
253	Mayangna	14.13	-84.34	maya1285	Misumalpan	WOMAN	jal	j a l	197	j a l ( - - )
254	Ulwa	12.93	-83.58	ulwa1239	Misumalpan	WOMAN	jal	j a l	197	j a l ( - - )
255	Miskito	15.1576	-84.2942	misk1235	Misumalpan	WOMAN	mairin	m ai r i n	197	m ai r ( i n )
#@highlight=TOKENS|ALIGNMENT
#@sampa=TOKENS
#@pinyin=
#@css=menu:show|database:hide
#@basics=ALIGNMENT|COGID|CONCEPT|DOCULECT|TOKENS
#@_selected_doculects=Cacaopera|Mayangna|Miskito|Ulwa
